State,PC,MPCE (Rs.),Poverty (%),GINI
,Gurdaspur,2046,13.6,0.2
,Amritsar,2018,23.5,0.2
,Khadoor Sahib,2244.2,15.8,0.3
,Anandpur Sahib,2359.1,10.2,0.3
,Sangrur,2309.2,16.4,0.3
,Ludhiana,2296.9,17.4,0.2
,Faridkot,1986.5,15.4,0.2
Rajasthan,Churu,1573.6,20.5,0.2
,Bikaner,1726.8,23.4,0.2
,Jhunjhunun,1772.3,14.6,0.2
,Alwar,2147,24.2,0.3
,Jodhpur,2007.4,21.5,0.3
,Sikar,1770.2,16.5,0.2
,nagaur,1548.4,25.3,0.2
,Tonk - Sawai Madhopur,1528.3,28.1,0.2
,Bharatpur,1534.7,41,0.3
,Barmer,1487.1,24.3,0.2
,Ajmer,1905.3,22.3,0.3
,Karauli - Dhaulpur,1296.3,41.6,0.2
,Jhalawar - Baran,1259.8,40.5,0.2
,Rajsamand,1516.8,24.5,0.2
,Jalore,1430.5,32.9,0.2
,Bhilwara,1524.6,27.8,0.2
,Kota,1616.8,28.4,0.2
,Pali,1778.5,17.2,0.2
,Ganganagar,1688.8,21,0.2
,Dausa,1844.4,19.9,0.2
,Chittaurgarh,N/A,N/A,N/A
,Jaipur,2232,14.3,0.3
,Banswara,N/A,N/A,N/A
,Udaipur,N/A,N/A,N/A
,Jaipur Rural,2221.3,15.4,0.3
Sikkim,Sikkim,1664.4,21.4,0.2
Tamil Nadu,Erode,N/A,N/A,N/A
,Tenkasi,1704.2,27.4,0.2
,Tirunelveli,1762,23,0.2
,Kanniyakumari,2323,15.8,0.3
,Coimbatore,N/A,N/A,N/A
,Mayiladuthurai,1769.9,14.8,0.2
,Perambalur,1957.9,16.9,0.2
,Dindigul,1724,20.8,0.2
,Arakkonam,1757.2,22.9,0.2
,Chennai South,2793.3,12.1,0.3
,Krishnagiri,1513.6,46.4,0.3
,Arani,1318.3,45.3,0.2
,Tiruvannamalai,1514.3,32.8,0.2
,Sriperumbudur,2327.8,13.2,0.3
,Vellore,1649,25.4,0.2
,Kancheepuram,2305,16,0.3
,Kallakurichi,1359.8,44.8,0.2
,Nilgiris,N/A,N/A,N/A
,Chidambaram,1483.1,33.8,0.2
,Chennai North,2981.1,10.6,0.3
,Chennai Central,3168.9,11.1,0.3
,Thoothukkudi,1478,30.6,0.2
,nagappattinam,1659.8,15.1,0.2
,Tiruvallur,2346.3,9.9,0.3
,Viluppuram,1044,63.5,0.2
,Cuddalore,1312,50.7,0.2
,Shivaganga,1500.7,34.9,0.2
,Theni,1756.5,22.2,0.2
,Ramanathapuram,1563.4,30,0.2
,namakkal,1991,18.7,0.3
,Thanjavur,1875.9,14.4,0.2
,Tiruchirappalli,1882.7,16.3,0.2
,Pollachi,N/A,N/A,N/A
,Karur,1919.2,18.9,0.2
,Dharmapuri,1462.6,39.4,0.3
,Madurai,1916,22.1,0.2
,Virudunagar,1700.9,32.7,0.2
,Tiruppur,N/A,N/A,N/A
,Salem,1594,31,0.2
Telangana,Zahirabad,1743.5,14.1,0.2
,Khammam,1407,24.5,0.2
,Medak,1819,8.8,0.2
,Bhongir,1720.3,28.6,0.3
,Chevella,2764.1,15,0.3
,Secunderabad,1463.4,32,0.2
,Peddapalle,1846.6,16.8,0.2
,nalgonda,1419,35.2,0.3
,nagarkurnool,1756,15.5,0.2
,Karimnagar,1513,16.7,0.2
,Nizamabad,1627.8,18.2,0.2
,Adilabad,2411,16.9,0.3
,Mahabubabad,1482.8,22.5,0.2
,Mahbubnagar,1756,15.5,0.2
,Warangal,1546,20.8,0.2
,Hyderabad,1481.6,31.7,0.2
,Malkajgiri,2686.5,16,0.3
Tripura,Tripura East,1528.9,15.6,0.2
,Tripura West,1407.1,26.1,0.2
Uttar Pradesh,Saharanpur,1425,26.6,0.2
,Kairana,1455.5,22.9,0.2
,nagina,1156,43.8,0.2
,Muzaffarnagar,1767,20.2,0.3
,Baghpat,1971.4,26,0.3
,Amroha,1669.9,28.5,0.2
,Sambhal,1202.1,45,0.2
,Meerut,2610,20.4,0.4
,Lalganj,1116,54.1,0.2
,Jalaun,1271.9,43.9,0.2
,Rampur,1046,50.7,0.2
,Ghaziabad,2493.2,15,0.4
,Pilibhit,1231.5,28.9,0.2
,Bulandshahr,1331,31.4,0.2
,Kheri,1167,42.7,0.2
,Bareilly,1240.8,40.7,0.2
,Aonla,1176.4,43.1,0.2
,Budaun,1075.1,46.9,0.2
,Shahjahanpur,1081,47.2,0.2
,Bahraich,1057.3,47.3,0.2
,Aligarh,1401.1,27.6,0.2
,Dhaurahra,1132.5,47.3,0.2
,Etah,1165,48.3,0.2
,Mathura,1264.5,32.2,0.2
,Farrukhabad,1147,45.3,0.2
,Hardoi,1036,48.6,0.2
,Hathras,1435.7,27.1,0.2
,Domriaganj,1142.9,43.9,0.2
,Sitapur,1089,53.2,0.2
,Firozabad,1132.1,48,0.2
,Maharajganj,1012.1,51.7,0.2
,Mainpuri,1043.9,52.5,0.2
,Kaisarganj,1014.2,49,0.2
,Gonda,984.3,51.4,0.2
,Misrikh,1112,48.5,0.2
,Barabanki,948,52.2,0.1
,Kushi nagar,1087,42.5,0.2
,Fatehpur Sikri,1310,45.2,0.2
,Azamgarh,1115.3,54.2,0.2
,Bansgaon,1323,39.5,0.3
,Amethi,1133.3,45.3,0.2
,Akbarpur,1506.5,39.4,0.3
,Rae Bareli,956,58.4,0.2
,Mohanlalganj,1860.6,44.3,0.3
,Deoria,1223.5,37.8,0.2
,Sant Kabir nagar,1141.6,45.5,0.2
,Faizabad,1160.5,56.1,0.3
,Etawah,1169.2,32.7,0.2
,Sultanpur,1240,37.4,0.3
,Salempur,1206.1,42.8,0.2
,Ghosi,1100.1,57.1,0.2
,Chandauli,1318.8,42.7,0.3
,Allahabad,1382,46.4,0.3
,Mirzapur,1106,48.2,0.2
,Robertsganj,1061.5,54.4,0.2
,Fatehpur,986,54.4,0.1
,Jaunpur,1059,48.7,0.2
,Pratapgarh,974,58.5,0.2
,Hamirpur,1050.3,56.1,0.2
,Kaushambi,939.9,60.5,0.2
,Ballia,1105.1,45.5,0.2
,Jhansi,1393.7,36.2,0.2
,Ghazipur,1074,41.8,0.2
,Machhlishahr,1162,46.1,0.2
,Phulpur,1382,46.4,0.3
,Sant Ravi Das nagar (Bhadohi),1102.9,56.3,0.2
,Ambedkar nagar,1106.1,51,0.2
,Banda,953.2,57.9,0.1
,Kanpur,1542.5,40,0.3
,Unnao,1103.1,48.7,0.2
,Kannauj,1020.2,52.9,0.2
,Lucknow,2008,42.6,0.4
,Varanasi,1503,37.5,0.3
,Gorakhpur,1315.3,42.7,0.3
,Basti,1063.1,55.4,0.3
,Shrawasti,982.8,47,0.1
,Agra,1290.6,45.8,0.2
,Gautam Buddha nagar,2253.7,22.1,0.3
,Bijnor,1672.1,29.5,0.3
,Moradabad,1186.8,44.7,0.2
Uttarakhand,Almora,1587,18.5,0.2
,Hardwar,2797,18.9,0.4
,Tehri Garhwal,1861.6,15.3,0.2
,Garhwal,1550.4,17.7,0.2
,nainital - Udhamsingh nagar,1614.4,34.6,0.3
West Bengal,Darjiling,1599.7,29.2,0.2
,Arambag,1352.2,40.7,0.2
,Barasat,1979.3,26.5,0.3
,Medinipur,1370.6,32.4,0.2
,Tamluk,1449.7,29.3,0.3
,Murshidabad,1215.8,36.5,0.2
,Krishnanagar,1241,43,0.2
,Birbhum,1194,33.5,0.2
,Bolpur,1312.4,37.3,0.2
,Barddhaman - Durgapur,1442,41.5,0.3
,Puruliya,1026,53.2,0.2
,Barddhaman Purba,1442,41.5,0.3
,Bankura,1163.3,42.2,0.2
,Asansol,1442,41.5,0.3
,Ranaghat,1242.3,43,0.2
,Bishnupur,1236.8,40.3,0.2
,Jangipur,1211,35.3,0.2
,Balurghat,1158.7,43.5,0.2
,Maldah Uttar,1309,29.8,0.2
,Kolkata Uttar,3406.7,15.1,0.3
,Jhargram,1301.6,36.2,0.2
,Kolkata Dakshin,2798.7,19.8,0.3
,Uluberiya,1787.7,26.2,0.3
,Mathurapur,1394,30.6,0.2
,Jaynagar,1653.9,28.8,0.3
,Diamond Harbour,1394,30.6,0.2
,Kanthi,1450,29.3,0.3
,Basirhat,2036,26.1,0.3
,Bangaon,1724.5,32.8,0.3
,Koch Bihar,1185,32.8,0.2
,Alipurduars,1285.7,24.4,0.2
,Jalpaiguri,1287.1,24.3,0.2
,Barakpur,2036,26.1,0.3
,Haora,1789,26.2,0.3
,Jadavpur,1394,30.6,0.2
,Hugli,1353,42.3,0.2
,Shrirampur,1564,34.5,0.2
,Baharampur,1211,35.3,0.2
,Maldah Dakshin,1286.3,31,0.2
,Raiganj,1099.2,51.6,0.2
,Ghatal,1366.5,32.6,0.2
,Dum Dum,2036,26.1,0.3
